MSE,MAE,R2,MSE,MAE,R2,split,Model_type,Tasks
3.013319126265317,1.2338838572189665,-0.07791460925322302,2.8954878519089857,1.548785190898573,-0.0963466457326474,train,SVM,8
3.013319126265317,1.2338838572189665,-0.07791460925322302,2.8954878519089857,1.548785190898573,-0.0963466457326474,train,SVM,8
3.013319126265317,1.2338838572189665,-0.07791460925322302,2.8954878519089857,1.548785190898573,-0.0963466457326474,train,SVM,8
3.013319126265317,1.2338838572189665,-0.07791460925322302,2.8954878519089857,1.548785190898573,-0.0963466457326474,train,SVM,8
3.013319126265317,1.2338838572189665,-0.07791460925322302,2.8954878519089857,1.548785190898573,-0.0963466457326474,train,SVM,8
1.5089285714285714,0.9170918367346939,-0.07413056494603709,1.782340862422998,1.2607802874743326,-0.06446479114414938,train,SVM,8
1.5089285714285714,0.9170918367346939,-0.07413056494603709,1.782340862422998,1.2607802874743326,-0.06446479114414938,train,SVM,8
1.5089285714285714,0.9170918367346939,-0.07413056494603709,1.782340862422998,1.2607802874743326,-0.06446479114414938,train,SVM,8
2.6076759061833688,1.183368869936034,-0.1085563316312923,2.867507886435331,1.5425867507886435,-0.11293798665183541,val,SVM,8
2.6076759061833688,1.183368869936034,-0.1085563316312923,2.867507886435331,1.5425867507886435,-0.11293798665183541,val,SVM,8
2.6076759061833688,1.183368869936034,-0.1085563316312923,2.867507886435331,1.5425867507886435,-0.11293798665183541,val,SVM,8
2.6076759061833688,1.183368869936034,-0.1085563316312923,2.867507886435331,1.5425867507886435,-0.11293798665183541,val,SVM,8
2.6076759061833688,1.183368869936034,-0.1085563316312923,2.867507886435331,1.5425867507886435,-0.11293798665183541,val,SVM,8
1.6734693877551021,0.9795918367346939,-0.22164791730009092,1.9193548387096775,1.3064516129032258,-0.25968926071367604,val,SVM,8
1.6734693877551021,0.9795918367346939,-0.22164791730009092,1.9193548387096775,1.3064516129032258,-0.25968926071367604,val,SVM,8
1.6734693877551021,0.9795918367346939,-0.22164791730009092,1.9193548387096775,1.3064516129032258,-0.25968926071367604,val,SVM,8
2.9340425531914893,1.2276595744680852,-0.11544809473899775,2.591194968553459,1.471698113207547,-0.13754840502196686,test,SVM,8
2.9340425531914893,1.2276595744680852,-0.11544809473899775,2.591194968553459,1.471698113207547,-0.13754840502196686,test,SVM,8
2.9340425531914893,1.2276595744680852,-0.11544809473899775,2.591194968553459,1.471698113207547,-0.13754840502196686,test,SVM,8
2.9340425531914893,1.2276595744680852,-0.11544809473899775,2.591194968553459,1.471698113207547,-0.13754840502196686,test,SVM,8
2.9340425531914893,1.2276595744680852,-0.11544809473899775,2.591194968553459,1.471698113207547,-0.13754840502196686,test,SVM,8
1.0101010101010102,0.7676767676767676,-0.042105263157894646,1.0,1.0,-0.0003306878306876815,test,SVM,8
1.0101010101010102,0.7676767676767676,-0.042105263157894646,1.0,1.0,-0.0003306878306876815,test,SVM,8
1.0101010101010102,0.7676767676767676,-0.042105263157894646,1.0,1.0,-0.0003306878306876815,test,SVM,8
